CodigoMunicipio,MunicipioResidencia,Total_casos_dengue,POP_TOT,PIB_PER_CAPITA,IDH-M,GINI,IN055_AE,IN056_AE,IN024_AE,IN015_AE,IN022_AE,IN049_AE,IN016_AE,IN015_RS,Índice de pavimentação das vias públicas,CS001,Msau28,Mgrd06,Mgrd08,Mgrd11,IndiceSurto,Surto
351720,GUAICARA,373,11239,18704.97,0.739,0.378,100.0,100.0,100.0,97.39,174.4,9.29,100.0,99.78,80.55,NAO,Sim,Não,Não,Não,3318.8006050360354,True
351730,GUAIMBE,62,5512,76293.81,0.728,0.406,96.88,96.88,99.13,95.77,351.2,0.0,100.0,86.21,81.56,SIM,Sim,Não,Não,Sim,1124.8185776487662,True
351740,GUAIRA,1195,39279,65519.59,0.753,0.521,100.0,100.0,100.0,100.0,244.6,38.97,100.0,99.87,99.54,NAO,Não,Não,Não,Não,3042.338145064793,True
351750,GUAPIACU,805,21711,40585.65,0.725,0.424,99.78,99.78,99.82,85.02,191.5,19.78,100.0,88.26,95.41,SIM,Sim,Não,Não,Não,3707.7978904702686,True
351760,GUAPIARA,230,17071,25989.08,0.675,0.566,57.93,34.92,89.6,56.53,131.0,30.93,93.2,64.48,95.7,SIM,Sim,Sim,Sim,Sim,1347.3141585144397,True
351770,GUARA,133,18606,28896.21,0.718,0.491,84.82,84.82,98.17,80.0,183.6,47.7,100.0,100.0,99.62,SIM,Sim,Não,Não,Não,714.8231753197894,True
351780,GUARACAI,267,7441,39546.1,0.719,0.43,77.85,77.85,100.0,92.97,264.2,13.95,100.0,77.85,94.31,SIM,Sim,Não,Não,Não,3588.227388791829,True
351790,GUARACI,397,10350,32986.54,0.737,0.418,99.97,99.97,99.17,77.99,207.4,41.01,100.0,89.46,96.67,NAO,Sim,Não,Não,Não,3835.748792270531,True
351800,GUARANI D'OESTE,190,1968,18556.87,0.732,0.41,88.16,85.01,100.0,100.0,185.5,12.11,100.0,87.2,98.39,SIM,Sim,Sim,Não,Não,9654.471544715449,True
351810,GUARANTA,308,6427,29367.05,0.713,0.491,100.0,100.0,100.0,100.0,418.0,7.32,92.68,100.0,99.88,NAO,Sim,Não,Não,Não,4792.282557958612,True
351820,GUARARAPES,1921,31043,36072.94,0.763,0.433,99.92,92.47,99.53,99.63,181.3,38.1,100.0,92.47,98.42,SIM,Sim,Sim,Sim,Sim,6188.190574364591,True
351830,GUARAREMA,1112,31236,50771.09,0.731,0.506,65.62,50.44,61.06,64.86,161.4,35.74,100.0,99.0,64.67,SIM,Não,Sim,Não,Não,3559.994877705212,True
351840,GUARATINGUETA,7449,118044,63948.0,0.798,0.548,98.69,91.76,91.63,78.48,162.9,54.32,32.46,98.99,76.53,SIM,Sim,Sim,Não,Sim,6310.358849242654,True
351850,GUAREI,594,15013,16300.18,0.687,0.435,79.96,46.74,72.12,46.5,192.8,20.29,100.0,86.59,76.1,SIM,Não,Sim,Sim,Sim,3956.5709718244193,True
351860,GUARIBA,814,37498,27783.09,0.719,0.439,99.33,100.0,100.0,99.99,166.1,22.79,100.0,96.68,99.37,SIM,Não,Sim,Sim,Sim,2170.7824417302254,True
